"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Accountants and auditors    * Account Auditor* Accountant* Auditor* Auditor-In-Charge* CPA* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant","=""13-2011""","1,397.7","1,537.6","139.9","10.0","141.8","69,350","Bachelor's degree","3","None","4","None","6"
"Actors    * Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-Over Artist","=""27-2011""","63.8","71.2","7.4","11.6","7.4","N/A","Some college, no degree","6","None","4","Long-term on-the-job training","3"
"Actuaries    * Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary","=""15-2011""","23.6","28.9","5.3","22.5","2.1","101,560","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator","=""51-9191""","17.0","16.6","-0.5","-2.7","1.8","32,710","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Administrative law judges, adjudicators, and hearing officers    * Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice of The Peace* Traffic Court Referee","=""23-1021""","15.4","16.0","0.6","4.0","0.7","94,790","Doctoral or professional degree","1","5 years or more","1","Short-term on-the-job training","5"
"Administrative services managers    * Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records and Information Manager","=""11-3011""","281.7","310.2","28.5","10.1","26.2","94,020","Bachelor's degree","3","Less than 5 years","2","None","6"
"Adult basic and secondary education and literacy teachers and instructors    * Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* GED Instructor* General Educational Development (GED) Teacher* General Educational Development Teacher","=""25-3011""","68.2","64.7","-3.4","-5.1","6.8","52,100","Bachelor's degree","3","None","4","None","6"
"Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions","=""11-2011""","31.3","33.0","1.7","5.5","3.4","106,130","Bachelor's degree","3","Less than 5 years","2","None","6"
"Advertising sales agents    * Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs and Displays Salesperson* Yellow Pages Space Salesperson","=""41-3011""","149.9","144.5","-5.4","-3.6","17.7","49,680","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Aerospace engineering and operations technicians    * Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician","=""17-3021""","12.1","12.9","0.8","6.6","1.1","67,240","Associate's degree","4","None","4","None","6"
"Aerospace engineers    * Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer","=""17-2011""","69.6","73.8","4.2","6.1","4.6","113,030","Bachelor's degree","3","None","4","None","6"
"Agents and business managers of artists, performers, and athletes    * Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent","=""13-1011""","19.1","20.0","0.9","4.7","2.3","64,940","Bachelor's degree","3","Less than 5 years","2","None","6"
"Agricultural and food science technicians    * Agriculture Technician* Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Dairy Lab Technician* Dairy Technician* Dairy Technologist* Feed Mill Lab Technician* Feed Research Technician* Food Quality Technician* Food Science Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician","=""19-4011""","27.5","29.2","1.7","6.3","3.0","39,910","Associate's degree","4","None","4","Moderate-term on-the-job training","4"
"Agricultural engineers    * Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer","=""17-2021""","2.7","2.9","0.2","8.2","0.2","74,780","Bachelor's degree","3","None","4","None","6"
"Agricultural equipment operators    * Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver","=""45-2091""","63.9","67.4","3.5","5.5","10.2","30,110","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector","=""45-2011""","15.6","16.3","0.7","4.6","2.2","43,390","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor","=""25-1041""","12.6","13.6","0.9","7.5","1.1","86,140","Doctoral or professional degree","1","None","4","None","6"
"Agricultural workers, all other    * Crop Scout* Irrigation Worker* Livestock Showman","=""45-2099""","11.6","12.1","0.5","4.4","1.8","30,600","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller","=""53-2021""","24.9","25.8","0.9","3.5","2.4","124,540","Associate's degree","4","None","4","Long-term on-the-job training","3"
"Aircraft cargo handling supervisors    * Air Cargo Ground Crew Supervisor* Air Cargo Ground Operations Supervisor* Air Cargo Supervisor* Aircraft Loadmaster* Airport Ramp Supervisor","=""53-1011""","7.6","8.1","0.5","5.9","0.8","48,150","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Aircraft mechanics and service technicians    * A&P Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe and Power Plant Mechanic* Airplane Rigger* FAA Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-Driven Airplane Mechanic","=""49-3011""","132.0","138.5","6.4","4.9","10.9","61,020","Postsecondary nondegree award","5","None","4","None","6"
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer","=""51-2011""","41.8","34.5","-7.3","-17.4","3.2","53,510","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator","=""53-2022""","8.9","9.7","0.8","8.8","0.9","52,360","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot","=""53-2011""","84.0","86.9","2.9","3.4","8.1","137,330","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver","=""53-3011""","17.3","21.1","3.8","21.9","3.1","24,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Amusement and recreation attendants    * Amusement Park Worker* Animal Ride Attendant* Arcade Attendant* Carnival Worker* Ferris Wheel Operator* Golf Caddy* Ice Rink Attendant* Ride Operator* Rides Attendant* Ski Lift Attendant* Ski Lift Operator* Sports Complex Attendant","=""39-3091""","300.0","327.9","27.8","9.3","73.2","21,060","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Anesthesiologists    * Anaesthesiologist* Anesthesiologist* Anesthetist* Attending Anesthesiologist* Obstetrical Anesthesiologist* Staff Anesthetist","=""29-1061""","33.0","38.1","5.1","15.4","1.4",">=208,000","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager","=""45-2021""","9.0","9.2","0.2","2.0","1.4","37,560","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Animal control workers    * Animal Control Officer* Animal Cruelty Investigator* Animal Treatment Investigator* Animal Warden* Dog Catcher* Dog Warden* Humane Officer","=""33-9011""","13.4","14.6","1.1","8.5","1.6","35,520","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher","=""19-1011""","6.1","6.4","0.4","5.9","0.7","60,760","Bachelor's degree","3","None","4","None","6"
"Animal trainers    * Animal Trainer* Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer","=""39-2011""","54.9","61.0","6.1","11.2","7.0","28,880","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist","=""19-3091""","7.6","7.9","0.3","4.5","0.7","62,280","Master's degree","2","None","4","None","6"
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor","=""25-1061""","7.1","7.8","0.7","10.0","0.6","81,580","Doctoral or professional degree","1","None","4","None","6"
"Appraisers and assessors of real estate    * Assessor* City Assessor* County Assessor* Land Appraiser* Personal Property Assessor* Property Appraiser* Real Estate Appraiser* Real Estate Assessor* Real Property Evaluator* Residential Fee Appraiser* Tax Assessor","=""13-2021""","80.8","92.4","11.7","14.4","6.7","54,010","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman","=""23-1022""","7.8","8.7","0.8","10.4","0.4","60,670","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect","=""17-1011""","128.8","134.2","5.5","4.2","9.7","78,470","Bachelor's degree","3","None","4","Internship/residency","1"
"Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter","=""17-3011""","99.6","107.7","8.1","8.1","9.5","52,870","Associate's degree","4","None","4","None","6"
"Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager","=""11-9041""","180.1","190.0","9.9","5.5","13.6","137,720","Bachelor's degree","3","5 years or more","1","None","6"
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor","=""25-1031""","9.5","10.5","1.0","10.6","0.8","80,050","Doctoral or professional degree","1","None","4","None","6"
"Archivists    * Archivist* Digital Archivist* Film Archivist* Historical Records Administrator* Image Archivist* Museum Archivist* Processing Archivist* Reference Archivist* State Archivist","=""25-4011""","6.8","7.8","1.0","14.3","0.8","51,760","Master's degree","2","None","4","None","6"
"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor","=""25-1062""","11.5","12.7","1.2","10.5","1.0","72,230","Doctoral or professional degree","1","None","4","None","6"
"Art directors    * Art Director* Magazine Designer","=""27-1011""","90.3","95.2","4.9","5.4","7.7","92,500","Bachelor's degree","3","5 years or more","1","None","6"
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor","=""25-1121""","122.5","137.2","14.7","12.0","11.2","66,930","Master's degree","2","None","4","None","6"
"Artists and related workers, all other    * Calligrapher* Tattoo Artist","=""27-1019""","12.8","13.5","0.7","5.5","1.1","63,540","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Assemblers and fabricators, all other    * Air Bag Builder* Auto Battery Builder* Barrel Straightener* Crate Builder* Doll Maker* Lure Maker* Quilt Stuffer","=""51-2099""","232.4","199.8","-32.6","-14.0","21.6","N/A","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
